iter	RMSE
0	79.53057872
1	74.93643332
2	70.66019977
3	67.18089729
4	63.78907534
5	60.84190552
6	58.00221521
7	55.69809118
8	53.63037613
9	51.69065343
10	49.93754515
11	48.64821626
12	47.0545304
13	45.89199745
14	44.84471948
15	43.84190463
16	42.98334692
17	42.24137802
18	41.42436874
19	40.66020294
20	39.83648302
21	39.21747785
22	38.6631195
23	38.14792137
24	37.79173422
25	37.22798782
26	36.86839295
27	36.48786346
28	36.13342371
29	35.80144349
30	35.52414867
31	35.24736185
32	34.94177329
33	34.67535682
34	34.31275653
35	34.07666004
36	33.81854765
37	33.56864696
38	33.32148703
39	33.0425799
40	32.84433238
41	32.65432224
42	32.4722081
43	32.30555704
44	32.15731552
45	32.02117882
46	31.74247844
47	31.53892187
48	31.31800471
49	31.20628666
50	31.09015446
51	30.98503508
52	30.79009618
53	30.60277618
54	30.47155913
55	30.35444754
56	30.13585831
57	30.04334407
58	29.89590141
59	29.76163474
60	29.67106542
61	29.49639408
62	29.42188044
63	29.33372787
64	29.25752451
65	29.15606046
66	29.01248497
67	28.92040802
68	28.82169781
69	28.65964575
70	28.52998943
71	28.43733781
72	28.35435076
73	28.20668607
74	28.03884929
75	27.92893811
76	27.85472491
77	27.7672937
78	27.70234127
79	27.57200404
80	27.54723805
81	27.39919046
82	27.33416942
83	27.27173698
84	27.17437077
85	27.06954185
86	27.03048811
87	26.93141111
88	26.88237376
89	26.80905139
90	26.72601129
91	26.63425741
92	26.56766216
93	26.51477534
94	26.44623947
95	26.36954452
96	26.27021588
97	26.21916533
98	26.13905895
99	26.08939907
