iter	Passed	Remaining
0	22	2244
1	44	2174
2	66	2141
3	87	2096
4	108	2054
5	129	2031
6	156	2080
7	184	2119
8	211	2142
9	239	2151
10	265	2150
11	272	2001
12	298	1998
13	323	1990
14	349	1980
15	374	1967
16	400	1953
17	407	1854
18	433	1848
19	459	1839
20	486	1831
21	512	1817
22	536	1794
23	559	1772
24	566	1698
25	590	1679
26	614	1661
27	637	1638
28	659	1613
29	682	1591
30	704	1568
31	728	1547
32	750	1523
33	771	1498
34	793	1473
35	815	1449
36	836	1424
37	858	1400
38	880	1376
39	901	1351
40	923	1328
41	946	1306
42	970	1285
43	993	1264
44	1016	1242
45	1039	1220
46	1060	1195
47	1083	1173
48	1106	1151
49	1120	1120
50	1144	1099
51	1168	1078
52	1192	1057
53	1215	1035
54	1238	1013
55	1261	991
56	1284	969
57	1308	947
58	1332	925
59	1356	904
60	1380	882
61	1404	860
62	1413	830
63	1438	809
64	1461	787
65	1485	765
66	1509	743
67	1533	721
68	1557	699
69	1580	677
70	1604	655
71	1627	632
72	1652	611
73	1677	589
74	1702	567
75	1727	545
76	1752	523
77	1777	501
78	1801	478
79	1825	456
80	1830	429
81	1855	407
82	1880	385
83	1904	362
84	1928	340
85	1953	318
86	1977	295
87	2000	272
88	2029	250
89	2059	228
90	2089	206
91	2118	184
92	2146	161
93	2173	138
94	2199	115
95	2227	92
96	2254	69
97	2281	46
98	2309	23
99	2335	0
